0	4	831	924	0	1203	815	3	906	929	10	449	271	9	652	390	13	1030	556	2	981	930	1	1060	929	43396	
1	4	802	376	0	495	201	3	687	293	10	839	838	12	226	322	11	574	772	7	1136	575	8	1112	709	38429	
2	4	815	811	0	405	862	3	713	866	10	553	451	14	242	715	15	325	792	5	931	737	6	841	578	33348	
3	9	351	475	13	1110	623	2	1237	335	1	1207	154	12	767	86	11	416	164	7	592	711	8	469	609	44716	
4	9	1196	487	13	235	542	2	813	804	1	571	854	14	228	631	15	234	724	5	404	327	6	790	319	34489	
5	12	791	225	11	1003	564	7	711	929	8	845	872	14	499	288	15	409	370	5	319	680	6	613	895	39787	
6	4	617	871	0	223	469	3	482	771	10	673	161	9	851	334	13	300	250	2	411	714	1	315	594	36672	
7	4	1060	516	0	618	225	3	957	365	10	444	716	12	237	278	11	302	580	7	917	767	8	805	825	34716	
8	4	621	621	0	624	246	3	563	509	10	1190	377	14	786	180	15	891	181	5	739	710	6	1026	669	33024	
9	9	992	250	13	464	427	2	772	650	1	590	582	12	532	316	11	1005	492	7	816	238	8	901	240	45154	
10	9	818	679	13	553	459	2	804	157	1	891	125	14	513	362	15	554	293	5	850	366	6	1018	541	44798	
11	12	692	282	11	1011	454	7	918	796	8	1014	794	14	470	557	15	511	454	5	639	729	6	826	788	41204	
