0	0	310	377	9	1466	663	2	318	660	6	1473	837	12	485	189	3	238	659	10	1465	551	7	1471	766	37587	
1	0	1133	949	9	333	645	2	850	946	6	482	850	1	962	946	11	203	389	5	659	945	14	1306	951	53098	
2	0	1130	829	9	357	350	2	921	804	6	598	594	4	739	717	15	1244	823	13	1353	818	8	452	475	48394	
3	12	568	544	3	176	688	10	911	921	7	647	913	1	287	807	11	1063	919	5	417	912	14	467	660	42926	
4	12	342	685	3	787	685	10	1329	687	7	1059	690	4	891	687	15	600	686	13	467	686	8	1175	690	46810	
5	1	1482	122	11	1268	663	5	1287	121	14	701	212	4	1385	121	15	801	212	13	610	214	8	1496	423	36814	
6	0	479	876	9	1281	280	2	425	637	6	1006	281	12	720	884	3	426	528	10	1397	278	7	1116	281	29303	
7	0	1304	446	9	825	875	2	715	202	6	571	884	1	640	203	11	1109	873	5	412	884	14	1564	686	45518	
8	0	811	905	9	808	344	2	1015	781	6	1033	479	4	1112	656	15	710	904	13	607	903	8	953	381	44166	
9	12	154	423	3	590	813	10	1259	782	7	932	878	1	404	716	11	1453	569	5	722	860	14	251	577	51435	
10	12	478	685	3	677	403	10	940	963	7	1224	664	4	831	402	15	742	685	13	609	684	8	1228	768	32564	
11	1	327	591	11	1086	547	5	521	883	14	450	400	4	391	760	15	365	399	13	529	403	8	919	744	36093	
