0	11	820	852	13	1453	728	12	1340	724	8	249	171	4	1624	132	7	189	789	2	1540	134	9	338	170	22750	
1	11	1590	670	13	257	217	12	343	217	8	1824	193	5	1829	332	6	1827	261	0	236	468	3	807	425	30486	
2	11	1661	178	13	552	692	12	484	688	8	1038	705	14	1204	361	1	1613	683	10	1596	178	15	1277	360	21931	
3	4	1775	448	7	167	79	2	1773	593	9	976	375	5	1769	291	6	101	77	0	1161	521	3	1774	521	32880	
4	4	552	428	7	1564	959	2	554	498	9	1315	186	14	789	187	1	553	563	10	1239	182	15	714	189	14541	
5	5	183	203	6	110	203	0	1064	829	3	1813	661	14	925	830	1	1817	732	10	552	214	15	993	832	36842	
6	11	1644	758	13	1576	828	12	1643	830	8	1859	370	4	362	481	7	1859	437	2	436	483	9	1857	302	27314	
7	11	1085	552	13	213	389	12	1084	619	8	1713	305	5	1639	374	6	1641	304	0	282	388	3	819	281	22934	
8	11	1563	486	13	1340	194	12	1270	193	8	1418	486	14	1413	193	1	389	988	10	1494	486	15	1488	191	29007	
9	4	1321	375	7	753	579	2	1323	241	9	753	508	5	1323	442	6	753	648	0	463	68	3	1321	305	21575	
10	4	908	259	7	514	316	2	908	192	9	652	320	14	1219	298	1	906	127	10	653	258	15	1219	233	29879	
11	5	650	272	6	653	205	0	1542	120	3	1611	624	14	1681	119	1	1545	623	10	984	280	15	1610	122	25873	
