0	8	6	7	4446	
1	11	6	2	3155	
2	1	8	1	1860	
3	8	9	6	1691	
4	3	15	2	2040	
5	2	9	2	842	
6	13	4	2	831	
7	11	9	2	1008	
8	6	0	2	903	
9	5	2	1	1206	
10	13	14	8	2779	
11	7	12	1	1197	
12	10	5	1	747	
13	3	10	1	704	
14	7	0	1	694	
15	3	9	1	688	
16	15	4	1	785	
17	9	13	1	1456	
18	11	7	1	716	
19	1	10	1	662	
20	14	0	1	1029	
21	14	9	1	813	
22	6	3	1	810	
23	15	14	8	1840	
24	4	9	1	1479	
25	2	14	1	1934	
26	1	13	1	779	
27	13	1	1	756	
28	2	12	1	2176	
29	0	4	1	1227	
30	4	8	1	1685	
31	4	12	1	1265	
32	6	10	1	1723	
33	0	1	6	2407	
34	3	4	8	2844	
35	12	7	1	2285	
36	15	5	1	1802	
37	13	3	1	1374	
38	14	0	5	3873	
39	1	0	6	2328	
40	8	10	2	2895	
41	6	15	1	1403	
42	2	7	1	755	
43	1	11	1	910	
44	14	7	1	1016	
45	1	7	1	1126	
46	10	4	1	957	
47	2	13	1	891	
48	0	3	1	961	
49	11	13	1	1996	
50	3	5	1	797	
51	12	11	1	797	
52	3	13	1	891	
53	9	7	7	2676	
54	0	2	6	1691	
55	10	7	1	3501	
56	4	11	1	894	
57	13	6	1	1000	
58	8	15	1	1038	
59	5	6	5	2032	
60	0	8	1	1528	
61	9	3	1	766	
62	8	11	1	1832	
63	15	13	8	2684	
64	1	14	2	2110	
65	4	0	2	910	
66	3	7	1	1083	
67	1	3	7	2886	
68	6	8	7	2281	
69	5	4	7	1376	
70	9	1	1	1941	
71	0	2	5	1658	
72	7	4	1	1941	
73	9	7	8	1762	
74	12	6	2	1754	
75	10	1	1	1239	
76	11	5	1	1187	
77	12	13	7	2283	
78	3	8	1	2093	
79	1	9	1	1004	
80	8	9	8	1649	
81	1	2	8	1628	
82	6	2	1	1538	
83	14	11	1	1095	
84	13	6	1	778	
85	5	0	1	797	
86	5	1	1	1109	
87	8	5	1	875	
88	5	8	1	882	
89	5	2	1	747	
90	11	5	1	645	
91	6	9	1	809	
92	7	6	8	1438	
93	14	5	1	4415	
94	8	0	1	843	
95	9	14	1	911	
96	15	7	1	984	
97	8	14	1	3445	
98	15	1	1	876	
99	5	9	1	750	
100	8	13	1	941	
101	14	12	5	2001	
102	5	13	1	1516	
103	4	15	1	1144	
104	12	8	1	1660	
105	4	3	8	1344	
106	7	4	2	4020	
107	11	13	1	1184	
108	10	12	2	2145	
109	15	9	1	1100	
110	7	14	1	1154	
111	0	12	1	1300	
112	0	11	1	685	
113	0	6	1	4657	
114	10	7	1	1362	
115	15	5	1	689	
116	14	3	1	840	
117	12	14	5	1989	
118	15	11	1	1625	
119	10	13	1	1465	
120	7	5	4	1956	
121	2	6	1	3494	
122	5	4	6	2910	
123	4	10	1	1957	
124	10	9	6	1694	
125	2	10	1	1408	
126	3	11	1	694	
127	3	0	4	1810	
128	14	6	1	1457	
129	6	12	1	719	
130	10	3	1	692	
131	15	2	1	1038	
132	6	1	1	793	
133	5	9	1	1066	
134	3	2	7	1688	
135	14	4	1	1860	
136	12	11	1	753	
137	0	13	4	1911	
138	7	8	8	1497	
139	10	6	2	3488	
140	4	13	1	1321	
141	4	2	8	1754	
142	13	10	2	1876	
143	2	4	8	1348	
144	2	9	1	1613	
145	7	1	1	1067	
146	14	10	1	2098	
147	1	8	1	718	
148	4	8	1	1504	
149	2	11	1	770	
150	4	6	1	1841	
151	2	8	1	819	
152	1	5	1	1341	
153	3	1	7	3329	
154	12	15	3	1984	
155	15	6	1	1379	
156	11	8	1	785	
157	8	3	1	785	
158	10	2	1	810	
159	6	14	1	749	
160	4	14	1	879	
161	3	15	1	863	
162	1	14	1	1435	
163	6	7	8	1676	
164	12	2	1	1754	
165	2	13	1	722	
166	7	13	1	757	
167	12	5	1	747	
168	7	15	1	672	
169	15	10	1	1002	
170	10	8	5	3637	
171	7	2	1	2047	
172	3	12	1	707	
173	9	13	1	722	
174	14	15	8	1335	
175	0	12	1	1547	
176	15	1	4	1473	
177	4	1	7	1691	
178	15	0	6	3016	
179	11	3	2	1187	
180	0	15	7	2345	
181	9	15	2	1219	
182	5	14	2	1101	
183	12	10	2	785	
184	7	5	4	8105	
185	13	7	1	1473	
186	0	9	1	734	
187	15	2	3	2410	
188	10	0	1	1372	
189	1	12	1	1567	
190	10	0	1	941	
191	11	7	1	1098	
192	12	4	1	906	
193	11	14	1	946	
194	13	15	7	1558	
195	8	13	1	1613	
196	7	0	1	737	
197	9	10	6	2154	
198	1	12	1	2300	
199	5	0	1	831	
200	3	7	1	782	
201	14	10	1	841	
202	1	11	1	797	
203	5	12	1	1225	
204	11	10	4	1779	
205	3	6	1	2223	
206	14	3	1	720	
207	6	1	1	910	
208	3	5	6	1547	
209	8	7	8	2079	
210	2	1	8	1163	
211	8	15	1	2820	
212	6	9	7	4042	
213	4	11	1	1878	
214	2	8	1	937	
215	13	14	8	1715	
216	3	2	8	2254	
217	12	15	2	1493	
218	6	11	2	749	
219	12	13	6	2143	
220	4	1	7	1132	
221	11	0	1	2379	
222	12	9	1	938	
223	13	0	5	4052	
224	15	10	1	1381	
225	12	3	1	914	
226	6	4	4	1501	
227	13	5	4	757	
228	9	4	1	2655	
229	11	2	1	643	
230	10	11	3	1626	
231	9	11	2	4029	
232	14	8	1	1027	
233	5	10	1	907	
234	12	9	1	663	
235	5	6	5	1836	
236	12	8	1	1664	
237	9	0	1	718	
238	15	11	1	688	
239	14	2	1	903	
