0	6	1593	335	4	419	824	9	1451	194	14	177	220	0	255	325	11	1046	580	3	555	810	8	1409	66	12994	
1	6	1755	465	4	1188	723	9	1676	535	14	1184	246	1	1286	707	15	1098	338	7	1780	548	13	1199	141	11473	
2	6	333	190	4	463	544	9	254	199	14	911	648	5	1255	411	10	1808	615	2	370	547	12	1585	235	9391	
3	0	1286	327	11	417	433	3	698	161	8	1698	776	1	590	133	15	1401	335	7	1646	861	13	1250	579	8733	
4	0	1410	237	11	1718	813	3	1487	454	8	742	364	5	840	975	10	983	348	2	1388	411	12	737	699	8475	
5	1	272	594	15	639	831	7	757	267	13	753	807	5	423	208	10	1208	406	2	285	720	12	87	72	8921	
6	6	487	832	4	753	407	9	1575	62	14	1072	793	0	1582	631	11	256	256	3	661	405	8	1471	104	8329	
7	6	853	540	4	484	108	9	851	702	14	1483	757	1	374	292	15	1556	280	7	942	541	13	1407	784	10851	
8	6	1598	734	4	875	81	9	236	226	14	154	737	5	700	841	10	361	352	2	905	164	12	1395	782	13008	
9	0	716	713	11	282	424	3	1071	258	8	1650	914	1	1063	92	15	808	826	7	1764	911	13	700	864	14402	
10	0	554	522	11	1822	1018	3	1639	643	8	64	131	5	1139	776	10	280	43	2	1735	621	12	517	1006	11226	
11	1	868	1020	15	637	395	7	214	117	13	548	406	5	1597	783	10	850	565	2	958	1015	12	1429	452	10470	
