0	15	1615	477	1	1484	940	13	1609	556	6	742	180	3	1135	997	4	1240	1008	5	1277	797	8	780	307	20778	
1	15	1423	418	1	678	550	13	1438	128	6	1237	804	14	1433	334	12	1567	140	9	1337	724	0	1291	418	25273	
2	15	954	922	1	1715	160	13	1053	830	6	997	410	7	922	446	11	1603	818	2	1712	62	10	1363	576	20453	
3	3	1605	330	4	1625	417	5	391	141	8	81	448	14	920	170	12	919	699	9	92	364	0	730	398	11488	
4	3	1584	288	4	124	454	5	141	380	8	1808	555	7	1694	616	11	1058	439	2	1692	229	10	780	713	8681	
5	14	1047	467	12	1499	934	9	529	220	0	1741	610	7	1516	203	11	1182	305	2	271	460	10	528	121	10619	
6	15	671	893	1	1385	270	13	654	1004	6	646	84	3	1366	164	4	1184	939	5	1229	852	8	640	240	8481	
7	15	309	695	1	1047	877	13	378	594	6	574	256	14	295	594	12	813	582	9	523	349	0	1145	694	11788	
8	15	332	680	1	670	744	13	320	604	6	682	188	7	688	278	11	1100	540	2	663	831	10	933	532	11689	
9	3	976	1001	4	911	1018	5	815	1002	8	431	303	14	1371	655	12	1143	150	9	429	396	0	943	574	12992	
10	3	1124	460	4	1012	450	5	1009	537	8	156	751	7	159	823	11	1451	286	2	1151	558	10	467	346	14297	
11	14	1795	560	12	1167	447	9	642	251	0	1456	242	7	642	335	11	517	669	2	1026	838	10	521	249	12335	
