0	8	510	539	1	1000	600	14	884	366	5	1001	712	15	742	296	0	312	422	12	511	660	2	268	281	45304	
1	8	931	248	1	478	473	14	1040	384	5	475	356	3	581	200	13	891	525	7	584	317	4	1035	146	70392	
2	8	470	367	1	1197	432	14	541	585	5	1123	338	9	561	192	11	618	594	10	384	197	6	294	279	46365	
3	15	375	745	0	839	452	12	297	621	2	175	150	3	272	258	13	371	452	7	1101	120	4	915	582	46323	
4	15	847	735	0	308	287	12	751	216	2	674	650	9	343	465	11	1012	372	10	959	491	6	986	638	17034	
5	3	534	460	13	1076	161	7	475	328	4	689	571	9	1068	484	11	1116	319	10	947	573	6	483	182	22274	
6	8	777	819	1	330	636	14	206	236	5	273	483	15	298	144	0	1034	403	12	804	666	2	1083	248	32034	
7	8	191	436	1	653	753	14	188	283	5	580	657	3	622	523	13	273	188	7	721	409	4	932	222	20644	
8	8	382	524	1	321	377	14	968	665	5	275	234	9	976	251	11	870	561	10	796	179	6	766	325	19544	
9	15	791	814	0	979	337	12	963	649	2	563	300	3	452	404	13	906	763	7	476	230	4	1063	335	38055	
10	15	264	494	0	839	562	12	245	213	2	927	192	9	210	357	11	692	196	10	793	194	6	829	430	16863	
11	3	832	723	13	317	250	7	938	644	4	730	261	9	228	162	11	219	550	10	241	398	6	871	309	15494	
