0	12	697	692	13	120	528	14	234	201	7	319	473	10	203	488	4	1174	642	3	1030	884	5	833	469	
1	12	1062	475	13	828	661	14	888	835	7	282	667	1	309	498	2	933	162	11	644	174	8	817	454	
2	12	1051	725	13	1031	534	14	883	835	7	277	649	6	399	841	15	1189	666	9	148	429	0	806	428	
3	10	586	308	4	491	159	3	508	459	5	792	303	1	144	787	2	1194	784	11	1114	251	8	963	496	
4	10	616	472	4	488	825	3	1132	693	5	1082	822	6	949	830	15	447	644	9	683	232	0	1163	131	
5	1	542	750	2	291	730	11	249	298	8	913	694	6	104	462	15	1016	814	9	513	528	0	653	136	
6	12	865	289	13	951	131	14	566	751	7	1014	492	10	611	136	4	504	603	3	877	490	5	714	901	
7	12	177	617	13	958	616	14	153	843	7	576	688	1	335	558	2	970	488	11	656	447	8	721	155	
8	12	469	888	13	208	827	14	481	525	7	879	821	6	681	162	15	330	839	9	892	404	0	126	514	
9	10	287	412	4	751	829	3	377	328	5	860	901	1	827	610	2	1074	415	11	663	435	8	432	166	
10	10	245	583	4	444	704	3	895	895	5	539	342	6	958	694	15	809	409	9	980	155	0	406	287	
11	1	734	281	2	613	711	11	724	897	8	266	442	6	859	891	15	1197	401	9	140	630	0	360	575	
