0	1	835	288	13	524	830	14	340	821	10	154	823	15	245	824	5	919	281	2	1011	288	12	436	830	21338	
1	1	898	857	13	350	197	14	263	193	10	441	202	11	176	193	7	815	859	4	1065	857	3	982	858	21523	
2	1	1025	204	13	149	804	14	396	811	10	315	809	6	938	201	0	851	196	8	231	804	9	478	811	25660	
3	15	950	109	5	176	831	2	424	836	12	1033	107	11	1120	103	7	258	830	4	513	838	3	343	832	24082	
4	15	119	892	5	847	137	2	1019	135	12	212	889	6	933	134	0	1110	128	8	388	886	9	301	882	29225	
5	11	254	877	7	727	208	4	895	222	3	640	203	6	978	224	0	815	219	8	170	875	9	335	882	23352	
6	1	831	158	13	314	819	14	233	816	10	394	823	15	473	825	5	749	155	2	664	152	12	154	813	18995	
7	1	1030	176	13	253	859	14	404	869	10	175	858	11	328	859	7	1115	174	4	944	171	3	861	166	40067	
8	1	1109	125	13	832	891	14	1070	902	10	910	897	6	1029	122	0	952	125	8	1146	903	9	989	901	35349	
9	15	238	871	5	927	125	2	1085	124	12	319	874	11	154	867	7	1163	129	4	848	121	3	1007	126	27638	
10	15	920	851	5	283	182	2	363	187	12	1085	850	6	113	180	0	197	179	8	1003	849	9	837	854	19682	
11	11	242	149	7	775	858	4	1029	869	3	860	866	6	944	868	0	1113	874	8	323	146	9	156	146	22891	
