0	12	519	421	10	617	642	11	809	436	8	998	230	0	913	225	2	493	159	6	586	158	7	724	437	24110	
1	12	1012	195	10	1118	193	11	381	179	8	727	540	5	1096	493	14	633	542	15	481	177	13	1183	489	19682	
2	12	411	485	10	742	421	11	569	153	8	662	417	9	828	284	1	921	283	3	654	151	4	507	488	17977	
3	0	489	121	2	673	481	6	467	422	7	645	167	5	904	365	14	382	424	15	731	164	13	982	365	47314	
4	0	607	309	2	300	512	6	397	505	7	895	578	9	862	389	1	771	386	3	806	583	4	523	314	20149	
5	5	440	182	14	803	316	15	953	150	13	567	459	9	647	460	1	359	182	3	1029	148	4	894	318	55935	
6	12	715	364	10	531	143	11	300	378	8	916	197	0	831	199	2	447	148	6	629	369	7	385	380	38714	
7	12	528	215	10	607	215	11	762	412	8	898	211	5	682	414	14	983	208	15	474	425	13	391	426	33343	
8	12	436	230	10	724	348	11	772	162	8	351	231	9	692	163	1	738	545	3	656	549	4	808	347	26436	
9	0	132	278	2	230	275	6	726	98	7	880	294	5	544	267	14	645	99	15	797	295	13	464	269	30742	
10	0	479	408	2	556	409	6	813	549	7	824	153	9	765	729	1	840	729	3	731	155	4	902	553	33394	
11	5	916	330	14	798	581	15	508	410	13	685	140	9	765	137	1	994	330	3	421	414	4	881	578	23347	
