0	4	2	5	6806	
1	2	11	1	3070	
2	2	8	4	3695	
3	4	14	7	2857	
4	12	4	7	1589	
5	1	9	7	1366	
6	1	7	7	1729	
7	14	4	8	1354	
8	2	5	5	3482	
9	3	15	8	1746	
10	13	11	9	2244	
11	11	0	4	3331	
12	3	13	6	3321	
13	15	12	6	2451	
14	1	6	3	2462	
15	3	1	3	898	
16	5	4	4	2514	
17	7	2	7	1679	
18	12	1	3	2389	
19	10	15	3	5266	
20	1	12	5	2197	
21	0	5	4	1387	
22	4	8	7	3259	
23	13	2	4	3819	
24	14	11	3	1266	
25	1	0	3	6493	
26	6	5	3	1168	
27	12	5	2	2478	
28	0	8	8	3478	
29	3	0	6	2166	
30	8	11	5	2591	
31	10	7	6	2365	
32	11	5	6	5318	
33	4	0	8	1795	
34	12	9	8	1246	
35	11	7	7	2088	
36	7	0	7	1771	
37	13	7	7	2466	
38	8	5	5	1653	
39	5	15	8	2401	
40	0	3	5	2395	
41	0	9	6	2604	
42	15	14	7	1545	
43	12	10	9	1558	
44	14	3	6	3243	
45	12	10	8	1710	
46	10	13	7	1891	
47	15	10	8	1774	
48	9	0	6	1590	
49	15	12	7	1968	
50	2	11	3	2604	
51	9	4	3	862	
52	9	6	3	3174	
53	8	12	7	1419	
54	14	6	5	1837	
55	14	15	2	2104	
56	4	7	7	2108	
57	2	15	4	1838	
58	13	14	3	2526	
59	10	9	5	1806	
60	15	5	4	2208	
61	13	2	1	2420	
62	6	4	9	1678	
63	12	13	1	2639	
64	14	2	9	1850	
65	6	0	9	1171	
66	9	7	7	2338	
67	7	8	5	2770	
68	0	13	3	2511	
69	6	11	3	1953	
70	7	15	9	1901	
71	14	8	9	1334	
72	8	10	9	793	
73	12	2	3	3876	
74	1	5	8	9076	
75	10	13	3	3414	
76	3	15	3	4942	
77	14	10	9	1480	
78	10	5	4	1261	
79	5	2	5	2795	
80	8	13	4	1589	
81	7	11	6	2226	
82	3	5	8	1416	
83	1	8	3	1766	
84	6	5	8	1682	
85	12	0	8	4397	
86	7	4	7	2599	
87	9	6	2	3445	
88	5	7	2	1889	
89	0	1	9	1803	
90	4	0	9	1609	
91	5	10	7	1304	
92	1	14	7	2513	
93	3	12	4	1527	
94	6	14	9	2054	
95	8	6	8	1672	
96	8	15	6	3267	
97	10	9	3	2658	
98	13	5	3	767	
99	12	6	3	1559	
100	4	1	3	1428	
101	10	14	8	2324	
102	15	13	9	1852	
103	11	4	7	1418	
104	7	6	7	4325	
105	0	11	3	1817	
106	11	5	9	1543	
107	6	13	4	1577	
108	10	2	8	1772	
109	6	15	3	3697	
110	9	13	9	2574	
111	10	0	7	1932	
112	1	10	7	1528	
113	7	12	7	1526	
114	7	14	6	2738	
115	15	13	8	1793	
116	14	12	4	3133	
117	10	4	7	1484	
118	3	7	7	881	
119	11	1	8	1793	
120	11	1	8	1110	
121	15	11	8	2899	
122	8	7	4	1667	
123	7	2	6	2796	
124	8	11	6	2681	
