0.000	4.500	1.000	5.000	5.500	0.500	8.000	5.500	5.000	1.500	8.000	8.000	5.000	8.000	8.000	7.000	
4.500	0.000	1.000	1.500	5.500	2.500	5.000	2.000	8.000	6.500	8.000	8.000	8.000	6.500	8.000	8.000	
1.000	1.000	0.000	2.000	2.000	1.000	1.500	1.500	8.000	8.000	4.000	7.000	8.000	8.000	8.000	4.000	
5.000	1.500	2.000	0.000	3.000	1.500	5.000	1.000	5.500	7.500	8.000	5.000	8.000	8.000	7.000	4.500	
5.500	5.500	2.000	3.000	0.000	1.000	0.500	1.500	8.000	8.000	7.000	7.000	7.000	4.500	5.500	8.000	
0.500	2.500	1.000	1.500	1.000	0.000	3.500	2.000	6.500	4.500	8.000	7.000	5.000	7.500	8.000	8.000	
8.000	5.000	1.500	5.000	0.500	3.500	0.000	1.000	7.500	8.000	6.500	8.000	8.000	8.000	4.000	8.000	
5.500	2.000	1.500	1.000	1.500	2.000	1.000	0.000	8.000	8.000	8.000	8.000	8.000	8.000	8.000	8.000	
5.000	8.000	8.000	5.500	8.000	6.500	7.500	8.000	0.000	2.500	2.000	5.000	1.500	8.000	3.000	5.500	
1.500	6.500	8.000	7.500	8.000	4.500	8.000	8.000	2.500	0.000	3.000	5.000	3.500	1.500	7.000	4.000	
8.000	8.000	4.000	8.000	7.000	8.000	6.500	8.000	2.000	3.000	0.000	5.000	4.000	7.000	2.000	2.000	
8.000	8.000	7.000	5.000	7.000	7.000	8.000	8.000	5.000	5.000	5.000	0.000	5.500	8.000	5.500	1.500	
5.000	8.000	8.000	8.000	7.000	5.000	8.000	8.000	1.500	3.500	4.000	5.500	0.000	4.500	8.000	5.000	
8.000	6.500	8.000	8.000	4.500	7.500	8.000	8.000	8.000	1.500	7.000	8.000	4.500	0.000	7.500	5.500	
8.000	8.000	8.000	7.000	5.500	8.000	4.000	8.000	3.000	7.000	2.000	5.500	8.000	7.500	0.000	1.500	
7.000	8.000	4.000	4.500	8.000	8.000	8.000	8.000	5.500	4.000	2.000	1.500	5.000	5.500	1.500	0.000	
