0.000	890.544	616.262	847.451	649.926	688.022	782.787	332.501	977.720	699.717	558.435	592.958	512.075	737.436	964.211	706.413	
890.544	0.000	1031.613	527.200	883.796	524.822	690.627	394.464	742.518	643.166	577.075	542.891	811.335	641.172	460.291	564.141	
616.262	1031.613	0.000	632.091	506.262	871.744	888.937	808.118	489.726	425.559	496.750	928.022	454.393	420.664	658.674	566.374	
847.451	527.200	632.091	0.000	717.092	612.875	407.455	427.009	399.761	483.482	824.094	453.768	808.133	905.339	563.905	907.578	
649.926	883.796	506.262	717.092	0.000	1052.055	669.934	622.454	597.014	674.005	481.312	708.056	639.129	515.765	785.787	617.512	
688.022	524.822	871.744	612.875	1052.055	0.000	537.738	353.695	439.542	583.921	857.065	662.337	995.003	505.764	906.032	576.877	
782.787	690.627	888.937	407.455	669.934	537.738	0.000	477.823	373.291	720.626	662.549	838.929	658.795	962.391	588.056	691.135	
332.501	394.464	808.118	427.009	622.454	353.695	477.823	0.000	586.867	568.177	711.720	554.359	685.081	847.616	1103.266	956.583	
977.720	742.518	489.726	399.761	597.014	439.542	373.291	586.867	0.000	339.217	911.431	963.372	593.161	507.450	598.008	837.427	
699.717	643.166	425.559	483.482	674.005	583.921	720.626	568.177	339.217	0.000	792.273	890.957	499.661	597.429	608.710	894.466	
558.435	577.075	496.750	824.094	481.312	857.065	662.549	711.720	911.431	792.273	0.000	725.446	302.810	695.128	696.067	652.969	
592.958	542.891	928.022	453.768	708.056	662.337	838.929	554.359	963.372	890.957	725.446	0.000	768.859	881.588	758.917	1177.905	
512.075	811.335	454.393	808.133	639.129	995.003	658.795	685.081	593.161	499.661	302.810	768.859	0.000	386.146	615.091	578.584	
737.436	641.172	420.664	905.339	515.765	505.764	962.391	847.616	507.450	597.429	695.128	881.588	386.146	0.000	606.524	513.702	
964.211	460.291	658.674	563.905	785.787	906.032	588.056	1103.266	598.008	608.710	696.067	758.917	615.091	606.524	0.000	601.788	
706.413	564.141	566.374	907.578	617.512	576.877	691.135	956.583	837.427	894.466	652.969	1177.905	578.584	513.702	601.788	0.000	
